,Longitud,Amplitud
0,125.05639999999998,80
1,125.9242,8
2,126.88250000000001,100
3,130.7751,5
4,140.2619,20
5,143.5503,10
6,184.94920000000002,1000
7,226.221,60
8,230.2065,20
9,234.544,20
10,237.83249999999998,100
11,238.00039999999998,20
12,239.93490000000003,40
13,239.97289999999998,20
14,244.69,20
15,246.4064,15
16,248.19989999999999,40
17,248.27129999999997,30
18,248.38209999999998,40
19,253.47689999999997,90
20,253.6506,15000
21,256.3861,25
22,257.629,25
23,265.2043,250
24,265.3683,400
25,265.51300000000003,100
26,269.88309999999996,50
27,275.2783,80
28,275.971,20
29,280.34709999999995,40
30,280.4438,30
31,284.76750000000004,750
32,285.69390000000004,50
33,289.3598,150
34,291.6227,150
35,292.5413,60
36,296.7283,1200
37,302.15,300
38,302.34759999999994,120
39,302.5608,30
40,302.74899999999997,50
41,312.567,400
42,313.1551,320
43,313.18420000000003,320
44,334.1481,80
45,365.01570000000004,2800
46,365.48390000000006,300
47,366.2883,80
48,366.3281,240
49,370.14320000000004,30
50,370.41700000000003,35
51,380.166,30
52,390.18670000000003,20
53,390.6372,60
54,398.38390000000004,200
55,404.6572,1800
56,407.7838,150
57,410.8057,40
58,433.92240000000004,250
59,434.7496,400
60,435.8337,4000
61,491.6068,80
62,546.0753000000001,1100
63,567.5921999999999,160
64,576.9598000000001,240
65,579.0663000000001,280
66,607.2713000000001,20
67,623.4401999999999,30
68,671.6429,160
69,690.7461,250
70,1128.7406999999998,240
